self_play/promotions,rollout/ep_rew_mean,time/total_timesteps,self_play/switched_opponent,time/fps,time/time_elapsed,rollout/ep_len_mean,self_play/promotion_threshold,self_play/opponent_generation,time/iterations,train/n_updates,train/approx_kl,train/entropy_loss,train/clip_fraction,train/value_loss,train/clip_range,train/explained_variance,train/learning_rate,train/loss,train/policy_gradient_loss
0,2.27136,512,0.0,7,64,358.0,0.8,0,1,,,,,,,,,,
,0.77184,1024,,7,145,332.0,,,2,2,0.008870843,-46.2816219329834,0.0888671875,0.019340965431183577,0.2,-0.20901000499725342,0.0001,-0.9100130200386047,-0.0019868568051606417
,-0.463176,1536,,7,212,291.4,,,3,4,0.0020245956,-41.029093742370605,0.0087890625,0.040998976211994886,0.2,-0.14232170581817627,0.0001,-0.8354116678237915,-0.002444138750433922
,-0.17586449999999998,2048,,7,278,326.0,,,4,6,0.00029225682,-7.282131791114807,0.0,0.0521065928041935,0.2,-0.029122591018676758,0.0001,-0.1188805103302002,0.0003796583041548729
,-0.29985087499999996,2560,,7,349,299.625,,,5,8,0.0024449439,-49.1098575592041,0.01171875,0.007484730915166438,0.2,0.4976528286933899,0.0001,-1.028387188911438,-0.004708520136773586
,-0.5515741111111111,3072,,7,406,298.6666666666667,,,6,10,0.00045787555,-12.670840740203857,0.0,0.024691133527085185,0.2,0.08971577882766724,0.0001,-0.2549125850200653,0.00042587904317770153
,-0.08735154545454543,3584,,7,466,304.6363636363636,,,7,12,0.00040530087,-34.159932136535645,0.0,0.017745718359947205,0.2,0.5065940618515015,0.0001,-0.684432327747345,-0.0002715790178626776
,0.10958941666666668,4096,,7,524,310.0,,,8,14,0.0014369142,-53.012383460998535,0.0029296875,0.0337122674100101,0.2,0.3395652174949646,0.0001,-1.093878984451294,-0.0020019597141072154
,0.15621953333333333,4608,,7,602,300.4,,,9,16,0.0018366411,-34.96289825439453,0.0087890625,0.014339548535645008,0.2,0.6939279437065125,0.0001,-0.6671329140663147,-0.0031992695294320583
,-0.0780816875,5120,,7,686,311.3125,,,10,18,0.0049174754,-57.95333957672119,0.0361328125,0.043921311385929585,0.2,0.3469475507736206,0.0001,-1.1809372901916504,-0.002061672043055296
,0.19893015789473684,5632,,7,747,295.4736842105263,,,11,20,0.00063241797,-16.663087844848633,0.0,0.013359432108700275,0.2,0.79170161485672,0.0001,-0.3332008421421051,-2.176966518163681e-07
,0.09897565,6144,,7,816,296.8,,,12,22,0.00050587486,-53.741926193237305,0.0,0.045273249968886375,0.2,0.3074929118156433,0.0001,-1.0911881923675537,-0.0005639871815219522
,0.170513,6656,,7,897,305.7142857142857,,,13,24,4.1604275e-05,-7.215299844741821,0.0,0.01027898769825697,0.2,0.828585684299469,0.0001,-0.13469642400741577,-0.00022616388741880655
,0.16278491304347825,7168,,7,975,303.82608695652175,,,14,26,0.00039908418,-42.63505554199219,0.0,0.002370414964389056,0.2,0.9508123397827148,0.0001,-0.8879269361495972,-0.0012122060870751739
,0.06683316666666661,7680,,7,1072,311.9583333333333,,,15,28,0.00051620055,-33.7537784576416,0.0,0.018613786436617374,0.2,0.8225107789039612,0.0001,-0.6546518802642822,0.00027055200189352036
,-0.07397776000000006,8192,,7,1160,313.4,,,16,30,0.0014022585,-15.311167001724243,0.0029296875,0.007093671476468444,0.2,0.8862475752830505,0.0001,-0.3154214322566986,-0.003189869807101786
,-0.026353269230769288,8704,,7,1240,320.53846153846155,,,17,32,0.0062501943,-20.982473373413086,0.044921875,0.00814035499934107,0.2,0.9057639837265015,0.0001,-0.45196282863616943,-0.003519912948831916
,0.006431285714285655,9216,,6,1341,328.67857142857144,,,18,34,0.00084890006,-28.693063259124756,0.0,0.0031190533190965652,0.2,0.9565671682357788,0.0001,-0.5772883296012878,0.0004651756025850773
,0.08550951724137926,9728,,6,1444,332.17241379310343,,,19,36,0.002856542,-64.1265230178833,0.013671875,0.009775646030902863,0.2,0.9503434896469116,0.0001,-1.2809898853302002,-0.005324763362295926
,0.13526186666666662,10240,,6,1514,332.6333333333333,,,20,38,0.0048502507,-72.70258331298828,0.0302734375,0.0032064844272099435,0.2,0.9176311492919922,0.0001,-1.422379493713379,-0.0020568540785461664
,0.13410549999999993,10752,,6,1572,335.3125,,,21,40,0.00081297476,-26.70936346054077,0.0,0.00394282175693661,0.2,0.9612227082252502,0.0001,-0.5332848429679871,-0.0021742824465036392
,0.21210342424242418,11264,,6,1647,340.27272727272725,,,22,42,0.0048378007,-36.56291103363037,0.025390625,0.004943523905239999,0.2,0.9623389840126038,0.0001,-0.7637505531311035,-0.0005036343354731798
