time/time_elapsed,self_play/switched_opponent,self_play/promotions,rollout/ep_rew_mean,time/fps,time/total_timesteps,self_play/opponent_generation,time/iterations,self_play/promotion_threshold,rollout/ep_len_mean,train/entropy_loss,train/approx_kl,train/loss,train/n_updates,train/value_loss,train/explained_variance,train/clip_range,train/learning_rate,train/clip_fraction,train/policy_gradient_loss
33,0.0,0,-1.7848,15,512,0,1,0.8,233.0,,,,,,,,,,
100,,,-0.5985066666666666,10,1024,,2,,294.6666666666667,-27.010978877544403,0.0010524353,0.007171369157731533,4,0.01931480762141291,0.43518996238708496,0.2,3e-05,0.0224609375,-0.0012938921572640538
174,,,-1.24651375,8,1536,,3,,345.75,-14.122008353471756,0.00177966,-0.02710939198732376,8,0.021259862507577054,0.6177165508270264,0.2,3e-05,0.009765625,-0.007138274813769385
241,,,-1.395791,8,2048,,4,,335.2,-7.36804535984993,0.0078249285,0.008284381590783596,12,0.003853262662232737,0.9151798486709595,0.2,3e-05,0.0390625,-0.007702995324507356
315,,,-1.4658825,8,2560,,5,,349.6666666666667,-12.861577033996582,0.0025679674,-0.006707696244120598,16,0.005341646261513233,0.8580990433692932,0.2,3e-05,0.0166015625,-0.0025331933284178376
389,,,-1.1381622222222223,7,3072,,6,,341.0,-24.5771586894989,0.0035014919,-0.01415792666375637,20,0.002826097159413621,0.9509928226470947,0.2,3e-05,0.00634765625,-0.004635550096281804
453,,,-0.8372024,7,3584,,7,,356.8,-53.01440417766571,0.0020962143,0.013892325572669506,24,0.032925583800533786,0.6289786100387573,0.2,3e-05,0.00537109375,-0.00244420682429336
515,,,-0.6443297272727272,7,4096,,8,,369.72727272727275,-58.448800921440125,0.005155982,-0.016119487583637238,28,0.002929190803115489,0.9385882616043091,0.2,3e-05,0.0224609375,-0.005163572364836
578,,,-0.43137724999999993,7,4608,,9,,361.8333333333333,-43.428433299064636,0.0071935477,-0.0019726380705833435,32,0.0056200756880571134,0.904518723487854,0.2,3e-05,0.04296875,-0.006274877698160708
640,,,-0.3748933571428571,7,5120,,10,,364.35714285714283,-65.58594369888306,0.0015803591,-0.017912043258547783,36,0.007753278376185335,0.9231786131858826,0.2,3e-05,0.00048828125,-0.001846524581196718
703,,,-0.14189379999999996,8,5632,,11,,368.26666666666665,-13.244592547416687,0.0028947855,-0.01956760510802269,40,0.0069471052556764334,0.9295206069946289,0.2,3e-05,0.0126953125,-0.005969884048681706
770,,,-0.3739839411764706,7,6144,,12,,352.05882352941177,-57.2803920507431,0.004997747,0.0011824285611510277,44,0.006358312348311301,0.9470000863075256,0.2,3e-05,0.0224609375,-0.004064593755174428
840,,,-0.6019782631578948,7,6656,,13,,342.05263157894734,-8.515723094344139,0.00077171717,0.00021235155873000622,48,0.009765475646418054,0.8838592171669006,0.2,3e-05,0.0,-0.0011728278186637908
